Subject,Year,State,value,percentage
Republican Vote Share-Buffalo,2012,South Dakota,25.9,25.9
Republican Vote Share-Butte,2012,South Dakota,73.03,73.03
Republican Vote Share-Campbell,2012,South Dakota,78.27,78.27
Republican Vote Share-Charles Mix,2012,South Dakota,59.25,59.25
Republican Vote Share-Clark,2012,South Dakota,58.59,58.59
Republican Vote Share-Clay,2012,South Dakota,41.01,41.01
Republican Vote Share-Codington,2012,South Dakota,58.1,58.1
Republican Vote Share-Corson,2012,South Dakota,42.95,42.95
Republican Vote Share-Custer,2012,South Dakota,67.74,67.74
Republican Vote Share-Davison,2012,South Dakota,59.66,59.66
Republican Vote Share-Day,2012,South Dakota,45.95,45.95
Republican Vote Share-Deuel,2012,South Dakota,54.12,54.12
Republican Vote Share-Dewey,2012,South Dakota,34.99,34.99
Republican Vote Share-Douglas,2012,South Dakota,78.93,78.93
Republican Vote Share-Edmunds,2012,South Dakota,65.29,65.29
Republican Vote Share-Fall river,2012,South Dakota,64.26,64.26
Republican Vote Share-Faulk,2012,South Dakota,67.88,67.88
Republican Vote Share-Grant,2012,South Dakota,56.41,56.41
Republican Vote Share-Gregory,2012,South Dakota,70.06,70.06
Republican Vote Share-Haakon,2012,South Dakota,86.08,86.08
Republican Vote Share-Hamlin,2012,South Dakota,64.55,64.55
Republican Vote Share-Hand,2012,South Dakota,67.21,67.21
Republican Vote Share-Hanson,2012,South Dakota,67.34,67.34
Republican Vote Share-Harding,2012,South Dakota,86.33,86.33
Republican Vote Share-Hughes,2012,South Dakota,64,64
Republican Vote Share-Hutchinson,2012,South Dakota,71.56,71.56
Republican Vote Share-Hyde,2012,South Dakota,72.44,72.44
Republican Vote Share-Jackson,2012,South Dakota,59.76,59.76
Republican Vote Share-Jerauld,2012,South Dakota,53.48,53.48
Republican Vote Share-Jones,2012,South Dakota,80.46,80.46
Republican Vote Share-Kingsbury,2012,South Dakota,55.64,55.64
Republican Vote Share-Lake,2012,South Dakota,54.4,54.4
Republican Vote Share-Lawerence,2012,South Dakota,61.85,61.85
Republican Vote Share-Lincoln,2012,South Dakota,62,62
Republican Vote Share-Lyman,2012,South Dakota,59.46,59.46
Republican Vote Share-Marshall,2012,South Dakota,45.02,45.02
Republican Vote Share-McCook,2012,South Dakota,63.34,63.34
Republican Vote Share-McPherson,2012,South Dakota,75.8,75.8
Republican Vote Share-Meade,2012,South Dakota,69.93,69.93
Republican Vote Share-Mellette,2012,South Dakota,49.54,49.54
Republican Vote Share-Miner,2012,South Dakota,55.79,55.79
Republican Vote Share-Minnehaha,2012,South Dakota,52.67,52.67
Republican Vote Share-Moody,2012,South Dakota,50.61,50.61
Republican Vote Share-Pennington,2012,South Dakota,63.5,63.5
Republican Vote Share-Perkins,2012,South Dakota,75.79,75.79
Republican Vote Share-Potter,2012,South Dakota,74.51,74.51
Republican Vote Share-Roberts,2012,South Dakota,44.24,44.24
Republican Vote Share-Sanbron,2012,South Dakota,61.7,61.7
Republican Vote Share-Shannon,2012,South Dakota,6.01,6.01
Republican Vote Share-Spink,2012,South Dakota,54.92,54.92
Republican Vote Share-Stanely,2012,South Dakota,69.03,69.03
Republican Vote Share-Sully,2012,South Dakota,74.88,74.88
Republican Vote Share-Todd,2012,South Dakota,19.94,19.94
Republican Vote Share-Tripp,2012,South Dakota,70.79,70.79
Republican Vote Share-Turner,2012,South Dakota,64.49,64.49
Republican Vote Share-Union,2012,South Dakota,61.85,61.85
Republican Vote Share-Walworth,2012,South Dakota,70.31,70.31
Republican Vote Share-Yankton,2012,South Dakota,55.07,55.07
Republican Vote Share-Ziebach,2012,South Dakota,41.26,41.26
Republican Vote Share-Aurora,2016,South Dakota,69.23,69.23
Republican Vote Share-Beadle,2016,South Dakota,65.79,65.79
Republican Vote Share-Bennett,2016,South Dakota,57.96,57.96
Republican Vote Share-Bon Homme,2016,South Dakota,70.78,70.78
Republican Vote Share-Brookings,2016,South Dakota,53.22,53.22
Republican Vote Share-Brown,2016,South Dakota,59.66,59.66
Republican Vote Share-Brule,2016,South Dakota,68.4,68.4
Republican Vote Share-Buffalo,2016,South Dakota,34.9,34.9
Republican Vote Share-Butte,2016,South Dakota,77.2,77.2
Republican Vote Share-Campbell,2016,South Dakota,84.72,84.72
Republican Vote Share-Charles Mix,2016,South Dakota,69.39,69.39
Republican Vote Share-Clark,2016,South Dakota,68.74,68.74
Republican Vote Share-Clay,2016,South Dakota,41.65,41.65
Republican Vote Share-Codington,2016,South Dakota,66.54,66.54
Republican Vote Share-Corson,2016,South Dakota,50.04,50.04
Republican Vote Share-Custer,2016,South Dakota,69.76,69.76
Republican Vote Share-Davison,2016,South Dakota,64.85,64.85
Republican Vote Share-Day,2016,South Dakota,59.23,59.23
Republican Vote Share-Deuel,2016,South Dakota,65.67,65.67
Republican Vote Share-Dewey,2016,South Dakota,42.4,42.4
Republican Vote Share-Douglas,2016,South Dakota,83.36,83.36
Republican Vote Share-Edmunds,2016,South Dakota,74.71,74.71
Republican Vote Share-Fall river,2016,South Dakota,71.68,71.68
Republican Vote Share-Faulk,2016,South Dakota,76.74,76.74
Republican Vote Share-Grant,2016,South Dakota,66.84,66.84
Republican Vote Share-Gregory,2016,South Dakota,76.52,76.52
Republican Vote Share-Haakon,2016,South Dakota,89.66,89.66
Republican Vote Share-Hamlin,2016,South Dakota,74.26,74.26
Republican Vote Share-Hand,2016,South Dakota,76.51,76.51
Republican Vote Share-Hanson,2016,South Dakota,74.63,74.63
Republican Vote Share-Harding,2016,South Dakota,90.25,90.25
Republican Vote Share-Hughes,2016,South Dakota,63.31,63.31
Republican Vote Share-Hutchinson,2016,South Dakota,74.8,74.8
Republican Vote Share-Hyde,2016,South Dakota,78.7,78.7
Republican Vote Share-Jackson,2016,South Dakota,65.94,65.94
Republican Vote Share-Jerauld,2016,South Dakota,67.01,67.01
Republican Vote Share-Jones,2016,South Dakota,80.65,80.65
Republican Vote Share-Kingsbury,2016,South Dakota,65.86,65.86
Republican Vote Share-Lake,2016,South Dakota,59.5,59.5
Republican Vote Share-Lawerence,2016,South Dakota,62.58,62.58
Republican Vote Share-Lincoln,2016,South Dakota,61.43,61.43
Republican Vote Share-Lyman,2016,South Dakota,68.75,68.75
Republican Vote Share-Marshall,2016,South Dakota,54.24,54.24
Republican Vote Share-McCook,2016,South Dakota,69.35,69.35
Republican Vote Share-McPherson,2016,South Dakota,78.45,78.45
Republican Vote Share-Meade,2016,South Dakota,72.64,72.64
Republican Vote Share-Mellette,2016,South Dakota,58.86,58.86
Republican Vote Share-Miner,2016,South Dakota,66.35,66.35
Republican Vote Share-Minnehaha,2016,South Dakota,53.72,53.72
Republican Vote Share-Moody,2016,South Dakota,59.01,59.01
Republican Vote Share-Pennington,2016,South Dakota,62.43,62.43
Republican Vote Share-Perkins,2016,South Dakota,83,83
Republican Vote Share-Potter,2016,South Dakota,80.07,80.07
Republican Vote Share-Roberts,2016,South Dakota,55.12,55.12
Republican Vote Share-Sanbron,2016,South Dakota,72.93,72.93
Republican Vote Share-Shannon,2016,South Dakota,8.32,8.32
Republican Vote Share-Spink,2016,South Dakota,62.8,62.8
Republican Vote Share-Stanely,2016,South Dakota,73.26,73.26
Republican Vote Share-Sully,2016,South Dakota,78.86,78.86
Republican Vote Share-Todd,2016,South Dakota,22.9,22.9
Republican Vote Share-Tripp,2016,South Dakota,78.67,78.67
Republican Vote Share-Turner,2016,South Dakota,70.77,70.77
Republican Vote Share-Union,2016,South Dakota,66.98,66.98
Republican Vote Share-Walworth,2016,South Dakota,76.54,76.54
Republican Vote Share-Yankton,2016,South Dakota,58.8,58.8
Republican Vote Share-Ziebach,2016,South Dakota,48.04,48.04
Winning Margin-Aurora,2000,South Dakota,23.63,23.63
Winning Margin-Beadle,2000,South Dakota,14.61,14.61
Winning Margin-Bennett,2000,South Dakota,30.02,30.02
Winning Margin-Bon Homme,2000,South Dakota,23.54,23.54
Winning Margin-Brookings,2000,South Dakota,15.16,15.16
Winning Margin-Brown,2000,South Dakota,11.39,11.39
Winning Margin-Brule,2000,South Dakota,20.76,20.76
Winning Margin-Buffalo,2000,South Dakota,-28.44,-28.44
Winning Margin-Butte,2000,South Dakota,52.05,52.05
Winning Margin-Campbell,2000,South Dakota,64.56,64.56
Winning Margin-Charles Mix,2000,South Dakota,25.29,25.29
Winning Margin-Clark,2000,South Dakota,22.82,22.82
Winning Margin-Clay,2000,South Dakota,-5.38,-5.38
Winning Margin-Codington,2000,South Dakota,22.68,22.68
Winning Margin-Corson,2000,South Dakota,6.43,6.43
Winning Margin-Custer,2000,South Dakota,43.1,43.1
Winning Margin-Davison,2000,South Dakota,20.05,20.05
Winning Margin-Day,2000,South Dakota,4.1,4.1
Winning Margin-Deuel,2000,South Dakota,14.34,14.34
Winning Margin-Dewey,2000,South Dakota,-7.08,-7.08
Winning Margin-Douglas,2000,South Dakota,55.47,55.47
Winning Margin-Edmunds,2000,South Dakota,29.25,29.25
Winning Margin-Fall river,2000,South Dakota,30.68,30.68
Winning Margin-Faulk,2000,South Dakota,38.83,38.83
Winning Margin-Grant,2000,South Dakota,19.85,19.85
Winning Margin-Gregory,2000,South Dakota,34.07,34.07
Winning Margin-Haakon,2000,South Dakota,68.55,68.55
Winning Margin-Hamlin,2000,South Dakota,29.67,29.67
Winning Margin-Hand,2000,South Dakota,42.05,42.05
Winning Margin-Hanson,2000,South Dakota,34.27,34.27
Winning Margin-Harding,2000,South Dakota,80.16,80.16
Winning Margin-Hughes,2000,South Dakota,39.5,39.5
Winning Margin-Hutchinson,2000,South Dakota,39.86,39.86
Winning Margin-Hyde,2000,South Dakota,44.79,44.79
Winning Margin-Jackson,2000,South Dakota,35.39,35.39
Winning Margin-Jerauld,2000,South Dakota,13.9,13.9
Winning Margin-Jones,2000,South Dakota,56.03,56.03
Winning Margin-Kingsbury,2000,South Dakota,20.64,20.64
Winning Margin-Lake,2000,South Dakota,7.62,7.62
Winning Margin-Lawerence,2000,South Dakota,37.53,37.53
Winning Margin-Lincoln,2000,South Dakota,25.59,25.59
Winning Margin-Lyman,2000,South Dakota,28.35,28.35
Winning Margin-Marshall,2000,South Dakota,24.51,24.51
Winning Margin-McCook,2000,South Dakota,54.9,54.9
Winning Margin-McPherson,2000,South Dakota,7.6,7.6
Winning Margin-Meade,2000,South Dakota,49.15,49.15
Winning Margin-Mellette,2000,South Dakota,37.24,37.24
Winning Margin-Miner,2000,South Dakota,15.88,15.88
Winning Margin-Minnehaha,2000,South Dakota,10.41,10.41
Winning Margin-Moody,2000,South Dakota,1.57,1.57
Winning Margin-Pennington,2000,South Dakota,37.12,37.12
Winning Margin-Perkins,2000,South Dakota,58.24,58.24
Winning Margin-Potter,2000,South Dakota,50.6,50.6
Winning Margin-Roberts,2000,South Dakota,13.18,13.18
Winning Margin-Sanbron,2000,South Dakota,23.58,23.58
Winning Margin-Shannon,2000,South Dakota,-72.46,-72.46
Winning Margin-Spink,2000,South Dakota,20.8,20.8
Winning Margin-Stanely,2000,South Dakota,40.04,40.04
Winning Margin-Sully,2000,South Dakota,48.68,48.68
Winning Margin-Todd,2000,South Dakota,-34.48,-34.48
Winning Margin-Tripp,2000,South Dakota,40.14,40.14
Winning Margin-Turner,2000,South Dakota,27.48,27.48
Winning Margin-Union,2000,South Dakota,15.72,15.72
Winning Margin-Walworth,2000,South Dakota,40.62,40.62
Winning Margin-Yankton,2000,South Dakota,14.97,14.97
Winning Margin-Ziebach,2000,South Dakota,9.71,9.71
Winning Margin-Aurora,2004,South Dakota,23.6,23.6
Winning Margin-Beadle,2004,South Dakota,17.4,17.4
Winning Margin-Bennett,2004,South Dakota,4.5,4.5
Winning Margin-Bon Homme,2004,South Dakota,22.6,22.6
Winning Margin-Brookings,2004,South Dakota,16.6,16.6
Winning Margin-Brown,2004,South Dakota,13.1,13.1
Winning Margin-Brule,2004,South Dakota,19.1,19.1
Winning Margin-Buffalo,2004,South Dakota,-45.2,-45.2
Winning Margin-Butte,2004,South Dakota,50.5,50.5
Winning Margin-Campbell,2004,South Dakota,48.9,48.9
Winning Margin-Charles Mix,2004,South Dakota,8.4,8.4
Winning Margin-Clark,2004,South Dakota,24.1,24.1
Winning Margin-Clay,2004,South Dakota,-10.1,-10.1
Winning Margin-Codington,2004,South Dakota,23.3,23.3
Winning Margin-Corson,2004,South Dakota,-14.6,-14.6
Winning Margin-Custer,2004,South Dakota,38.3,38.3
Winning Margin-Davison,2004,South Dakota,25.7,25.7
Winning Margin-Day,2004,South Dakota,-4.1,-4.1
Winning Margin-Deuel,2004,South Dakota,18.5,18.5
Winning Margin-Dewey,2004,South Dakota,-26.7,-26.7
Winning Margin-Douglas,2004,South Dakota,59.8,59.8
Winning Margin-Edmunds,2004,South Dakota,30,30
Winning Margin-Fall river,2004,South Dakota,28.3,28.3
Winning Margin-Faulk,2004,South Dakota,38.5,38.5
Winning Margin-Grant,2004,South Dakota,18.6,18.6
Winning Margin-Gregory,2004,South Dakota,34.3,34.3
Winning Margin-Haakon,2004,South Dakota,63.5,63.5
Winning Margin-Hamlin,2004,South Dakota,30.9,30.9
Winning Margin-Hand,2004,South Dakota,37.3,37.3
Winning Margin-Hanson,2004,South Dakota,29.4,29.4
Winning Margin-Harding,2004,South Dakota,74.9,74.9
Winning Margin-Hughes,2004,South Dakota,37.6,37.6
Winning Margin-Hutchinson,2004,South Dakota,41.5,41.5
Winning Margin-Hyde,2004,South Dakota,41.3,41.3
Winning Margin-Jackson,2004,South Dakota,17.1,17.1
Winning Margin-Jerauld,2004,South Dakota,20.5,20.5
Winning Margin-Jones,2004,South Dakota,60.1,60.1
Winning Margin-Kingsbury,2004,South Dakota,21.3,21.3
Winning Margin-Lake,2004,South Dakota,14.1,14.1
Winning Margin-Lawerence,2004,South Dakota,31.3,31.3
Winning Margin-Lincoln,2004,South Dakota,32,32
Winning Margin-Lyman,2004,South Dakota,8.1,8.1
Winning Margin-Marshall,2004,South Dakota,6,6
Winning Margin-McCook,2004,South Dakota,25,25
Winning Margin-McPherson,2004,South Dakota,51.3,51.3
Winning Margin-Meade,2004,South Dakota,47,47
Winning Margin-Mellette,2004,South Dakota,20.6,20.6
Winning Margin-Miner,2004,South Dakota,11.5,11.5
Winning Margin-Minnehaha,2004,South Dakota,15.3,15.3
Winning Margin-Moody,2004,South Dakota,5.3,5.3
Winning Margin-Pennington,2004,South Dakota,35.1,35.1
Winning Margin-Perkins,2004,South Dakota,50.2,50.2
Winning Margin-Potter,2004,South Dakota,42,42
Winning Margin-Roberts,2004,South Dakota,-2.6,-2.6
Winning Margin-Sanbron,2004,South Dakota,16.6,16.6
Winning Margin-Shannon,2004,South Dakota,-72.1,-72.1
Winning Margin-Spink,2004,South Dakota,20.7,20.7
Winning Margin-Stanely,2004,South Dakota,41,41
Winning Margin-Sully,2004,South Dakota,54.7,54.7
Winning Margin-Todd,2004,South Dakota,-47,-47
Winning Margin-Tripp,2004,South Dakota,38.7,38.7
Winning Margin-Turner,2004,South Dakota,29.7,29.7
Winning Margin-Union,2004,South Dakota,14,14
Winning Margin-Walworth,2004,South Dakota,37.8,37.8
Winning Margin-Yankton,2004,South Dakota,16.9,16.9
Winning Margin-Ziebach,2004,South Dakota,-17.3,-17.3
Winning Margin-Aurora,2008,South Dakota,9.6,9.6
Winning Margin-Beadle,2008,South Dakota,7.44,7.44
Winning Margin-Bennett,2008,South Dakota,4.86,4.86
Winning Margin-Bon Homme,2008,South Dakota,11.2,11.2
Winning Margin-Brookings,2008,South Dakota,-5.68,-5.68
Winning Margin-Brown,2008,South Dakota,-5.7,-5.7
Winning Margin-Brule,2008,South Dakota,18.64,18.64
Winning Margin-Buffalo,2008,South Dakota,-48.86,-48.86
Winning Margin-Butte,2008,South Dakota,36.7,36.7
Winning Margin-Campbell,2008,South Dakota,41.72,41.72
Winning Margin-Charles Mix,2008,South Dakota,7.72,7.72
Winning Margin-Clark,2008,South Dakota,12.4,12.4
Winning Margin-Clay,2008,South Dakota,-24.78,-24.78
Winning Margin-Codington,2008,South Dakota,6.5,6.5
Winning Margin-Corson,2008,South Dakota,-22.02,-22.02
Winning Margin-Custer,2008,South Dakota,32.7,32.7
Winning Margin-Davison,2008,South Dakota,14.2,14.2
Winning Margin-Day,2008,South Dakota,-13.08,-13.08
Winning Margin-Deuel,2008,South Dakota,1.58,1.58
Winning Margin-Dewey,2008,South Dakota,-33.66,-33.66
Winning Margin-Douglas,2008,South Dakota,50.62,50.62
Winning Margin-Edmunds,2008,South Dakota,19.38,19.38
Winning Margin-Fall river,2008,South Dakota,27.4,27.4
Winning Margin-Faulk,2008,South Dakota,26.86,26.86
Winning Margin-Grant,2008,South Dakota,4.42,4.42
Winning Margin-Gregory,2008,South Dakota,29.72,29.72
Winning Margin-Haakon,2008,South Dakota,66.9,66.9
Winning Margin-Hamlin,2008,South Dakota,22.86,22.86
Winning Margin-Hand,2008,South Dakota,26.92,26.92
Winning Margin-Hanson,2008,South Dakota,19.48,19.48
Winning Margin-Harding,2008,South Dakota,61.98,61.98
Winning Margin-Hughes,2008,South Dakota,27.12,27.12
Winning Margin-Hutchinson,2008,South Dakota,29.58,29.58
Winning Margin-Hyde,2008,South Dakota,41.52,41.52
Winning Margin-Jackson,2008,South Dakota,21.12,21.12
Winning Margin-Jerauld,2008,South Dakota,0,0
Winning Margin-Jones,2008,South Dakota,51.8,51.8
Winning Margin-Kingsbury,2008,South Dakota,5.82,5.82
Winning Margin-Lake,2008,South Dakota,-0.66,-0.66
Winning Margin-Lawerence,2008,South Dakota,15.82,15.82
Winning Margin-Lincoln,2008,South Dakota,15.46,15.46
Winning Margin-Lyman,2008,South Dakota,11.48,11.48
Winning Margin-Marshall,2008,South Dakota,-16.7,-16.7
Winning Margin-McCook,2008,South Dakota,14.9,14.9
Winning Margin-McPherson,2008,South Dakota,34.96,34.96
Winning Margin-Meade,2008,South Dakota,33.44,33.44
Winning Margin-Mellette,2008,South Dakota,8.8,8.8
Winning Margin-Miner,2008,South Dakota,-2.36,-2.36
Winning Margin-Minnehaha,2008,South Dakota,-0.74,-0.74
Winning Margin-Moody,2008,South Dakota,-4.88,-4.88
Winning Margin-Pennington,2008,South Dakota,21.6,21.6
Winning Margin-Perkins,2008,South Dakota,37.66,37.66
Winning Margin-Potter,2008,South Dakota,32.06,32.06
Winning Margin-Roberts,2008,South Dakota,-20,-20
Winning Margin-Sanbron,2008,South Dakota,14.46,14.46
Winning Margin-Shannon,2008,South Dakota,-79.98,-79.98
Winning Margin-Spink,2008,South Dakota,3.42,3.42
Winning Margin-Stanely,2008,South Dakota,33.2,33.2
Winning Margin-Sully,2008,South Dakota,42.76,42.76
Winning Margin-Todd,2008,South Dakota,-58.9,-58.9
Winning Margin-Tripp,2008,South Dakota,34.08,34.08
Winning Margin-Turner,2008,South Dakota,20.32,20.32
Winning Margin-Union,2008,South Dakota,14.12,14.12
Winning Margin-Walworth,2008,South Dakota,28.76,28.76
Winning Margin-Yankton,2008,South Dakota,2.04,2.04
Winning Margin-Ziebach,2008,South Dakota,-27.94,-27.94
Winning Margin-Aurora,2012,South Dakota,17.72,17.72
Winning Margin-Beadle,2012,South Dakota,18.57,18.57
Winning Margin-Bennett,2012,South Dakota,6.49,6.49
Winning Margin-Bon Homme,2012,South Dakota,21.57,21.57
Winning Margin-Brookings,2012,South Dakota,3.17,3.17
Winning Margin-Brown,2012,South Dakota,6.67,6.67
Winning Margin-Brule,2012,South Dakota,28.37,28.37
Winning Margin-Buffalo,2012,South Dakota,-47.73,-47.73
Winning Margin-Butte,2012,South Dakota,49.23,49.23
Winning Margin-Campbell,2012,South Dakota,58.83,58.83
Winning Margin-Charles Mix,2012,South Dakota,19.86,19.86
Winning Margin-Clark,2012,South Dakota,19.44,19.44
Winning Margin-Clay,2012,South Dakota,-15.46,-15.46
Winning Margin-Codington,2012,South Dakota,18.29,18.29
Winning Margin-Corson,2012,South Dakota,-11.01,-11.01
Winning Margin-Custer,2012,South Dakota,38.2,38.2
Winning Margin-Davison,2012,South Dakota,21.48,21.48
Winning Margin-Day,2012,South Dakota,-6.16,-6.16
Winning Margin-Deuel,2012,South Dakota,10.78,10.78
Winning Margin-Dewey,2012,South Dakota,-28.7,-28.7
Winning Margin-Douglas,2012,South Dakota,59.29,59.29
Winning Margin-Edmunds,2012,South Dakota,33.16,33.16
Winning Margin-Fall river,2012,South Dakota,31.88,31.88
Winning Margin-Faulk,2012,South Dakota,38.51,38.51
Winning Margin-Grant,2012,South Dakota,15.01,15.01
Winning Margin-Gregory,2012,South Dakota,42.21,42.21
Winning Margin-Haakon,2012,South Dakota,73.44,73.44
Winning Margin-Hamlin,2012,South Dakota,31.57,31.57
Winning Margin-Hand,2012,South Dakota,36.1,36.1
Winning Margin-Hanson,2012,South Dakota,35.88,35.88
Winning Margin-Harding,2012,South Dakota,75.23,75.23
Winning Margin-Hughes,2012,South Dakota,29.84,29.84
Winning Margin-Hutchinson,2012,South Dakota,44.61,44.61
Winning Margin-Hyde,2012,South Dakota,46.66,46.66
Winning Margin-Jackson,2012,South Dakota,21.24,21.24
Winning Margin-Jerauld,2012,South Dakota,8.55,8.55
Winning Margin-Jones,2012,South Dakota,62.73,62.73
Winning Margin-Kingsbury,2012,South Dakota,13.77,13.77
Winning Margin-Lake,2012,South Dakota,11.06,11.06
Winning Margin-Lawerence,2012,South Dakota,26.87,26.87
Winning Margin-Lincoln,2012,South Dakota,25.64,25.64
Winning Margin-Lyman,2012,South Dakota,20.9,20.9
Winning Margin-Marshall,2012,South Dakota,-8.11,-8.11
Winning Margin-McCook,2012,South Dakota,28.71,28.71
Winning Margin-McPherson,2012,South Dakota,53.41,53.41
Winning Margin-Meade,2012,South Dakota,42.85,42.85
Winning Margin-Mellette,2012,South Dakota,0.78,0.78
Winning Margin-Miner,2012,South Dakota,13.77,13.77
Winning Margin-Minnehaha,2012,South Dakota,7.39,7.39
Winning Margin-Moody,2012,South Dakota,3.49,3.49
Winning Margin-Pennington,2012,South Dakota,29.49,29.49
Winning Margin-Perkins,2012,South Dakota,55.73,55.73
Winning Margin-Potter,2012,South Dakota,49.96,49.96
Winning Margin-Roberts,2012,South Dakota,-9.85,-9.85
Winning Margin-Sanbron,2012,South Dakota,26.81,26.81
Winning Margin-Shannon,2012,South Dakota,-87.34,-87.34
Winning Margin-Spink,2012,South Dakota,12.17,12.17
Winning Margin-Stanely,2012,South Dakota,40.78,40.78
Winning Margin-Sully,2012,South Dakota,52.09,52.09
Winning Margin-Todd,2012,South Dakota,-59.19,-59.19
Winning Margin-Tripp,2012,South Dakota,43.4,43.4
Winning Margin-Turner,2012,South Dakota,30.97,30.97
Winning Margin-Union,2012,South Dakota,25.23,25.23
Winning Margin-Walworth,2012,South Dakota,43.06,43.06
Winning Margin-Yankton,2012,South Dakota,12.69,12.69
Winning Margin-Ziebach,2012,South Dakota,-16.43,-16.43
Winning Margin-Aurora,2016,South Dakota,45.07,45.07
Winning Margin-Beadle,2016,South Dakota,37.56,37.56
Winning Margin-Bennett,2016,South Dakota,22.1,22.1
Winning Margin-Bon Homme,2016,South Dakota,47.11,47.11
Winning Margin-Brookings,2016,South Dakota,14.74,14.74
Winning Margin-Brown,2016,South Dakota,25.82,25.82
Winning Margin-Brule,2016,South Dakota,43.44,43.44
Winning Margin-Buffalo,2016,South Dakota,-25.51,-25.51
Winning Margin-Butte,2016,South Dakota,61.25,61.25
Winning Margin-Campbell,2016,South Dakota,72.08,72.08
Winning Margin-Charles Mix,2016,South Dakota,42.15,42.15
Winning Margin-Clark,2016,South Dakota,44.72,44.72
Winning Margin-Clay,2016,South Dakota,-9.8,-9.8
Winning Margin-Codington,2016,South Dakota,39.34,39.34
Winning Margin-Corson,2016,South Dakota,4.51,4.51
Winning Margin-Custer,2016,South Dakota,46.01,46.01
Winning Margin-Davison,2016,South Dakota,35.23,35.23
Winning Margin-Day,2016,South Dakota,23.77,23.77
Winning Margin-Deuel,2016,South Dakota,38.27,38.27
Winning Margin-Dewey,2016,South Dakota,-9.6,-9.6
Winning Margin-Douglas,2016,South Dakota,70.03,70.03
Winning Margin-Edmunds,2016,South Dakota,54.9,54.9
Winning Margin-Fall river,2016,South Dakota,48.24,48.24
Winning Margin-Faulk,2016,South Dakota,58.49,58.49
Winning Margin-Grant,2016,South Dakota,39.61,39.61
Winning Margin-Gregory,2016,South Dakota,57.82,57.82
Winning Margin-Haakon,2016,South Dakota,82.28,82.28
Winning Margin-Hamlin,2016,South Dakota,54.17,54.17
Winning Margin-Hand,2016,South Dakota,58.14,58.14
Winning Margin-Hanson,2016,South Dakota,53.49,53.49
Winning Margin-Harding,2016,South Dakota,85.31,85.31
Winning Margin-Hughes,2016,South Dakota,33.35,33.35
Winning Margin-Hutchinson,2016,South Dakota,54.24,54.24
Winning Margin-Hyde,2016,South Dakota,60.58,60.58
Winning Margin-Jackson,2016,South Dakota,36.44,36.44
Winning Margin-Jerauld,2016,South Dakota,39.71,39.71
Winning Margin-Jones,2016,South Dakota,68.28,68.28
Winning Margin-Kingsbury,2016,South Dakota,38.3,38.3
Winning Margin-Lake,2016,South Dakota,25.4,25.4
Winning Margin-Lawerence,2016,South Dakota,34.24,34.24
Winning Margin-Lincoln,2016,South Dakota,29.42,29.42
Winning Margin-Lyman,2016,South Dakota,42.78,42.78
Winning Margin-Marshall,2016,South Dakota,15.51,15.51
Winning Margin-McCook,2016,South Dakota,45.27,45.27
Winning Margin-McPherson,2016,South Dakota,61.56,61.56
Winning Margin-Meade,2016,South Dakota,53.51,53.51
Winning Margin-Mellette,2016,South Dakota,24.01,24.01
Winning Margin-Miner,2016,South Dakota,39.94,39.94
Winning Margin-Minnehaha,2016,South Dakota,14.61,14.61
Winning Margin-Moody,2016,South Dakota,23.45,23.45
Winning Margin-Pennington,2016,South Dakota,32.95,32.95
Winning Margin-Perkins,2016,South Dakota,71.29,71.29
Winning Margin-Potter,2016,South Dakota,63.97,63.97
Winning Margin-Roberts,2016,South Dakota,15.52,15.52
Winning Margin-Sanbron,2016,South Dakota,51.47,51.47
Winning Margin-Shannon,2016,South Dakota,-78.14,-78.14
Winning Margin-Spink,2016,South Dakota,31.7,31.7
Winning Margin-Stanely,2016,South Dakota,52.26,52.26
Winning Margin-Sully,2016,South Dakota,62.95,62.95
Winning Margin-Todd,2016,South Dakota,-47.9,-47.9
Winning Margin-Tripp,2016,South Dakota,61.1,61.1
Winning Margin-Turner,2016,South Dakota,47.61,47.61
Winning Margin-Union,2016,South Dakota,38.77,38.77
Winning Margin-Walworth,2016,South Dakota,58.09,58.09
Winning Margin-Yankton,2016,South Dakota,24.47,24.47
Winning Margin-Ziebach,2016,South Dakota,2.09,2.09
Average Margin-Aurora,2020,South Dakota,23.92,23.92
Average Margin-Beadle,2020,South Dakota,19.12,19.12
Average Margin-Bennett,2020,South Dakota,13.59,13.59
Average Margin-Bon Homme,2020,South Dakota,25.2,25.2
Average Margin-Brookings,2020,South Dakota,8.8,8.8
Average Margin-Brown,2020,South Dakota,10.26,10.26
Average Margin-Brule,2020,South Dakota,26.06,26.06
Average Margin-Buffalo,2020,South Dakota,-39.15,-39.15
Average Margin-Butte,2020,South Dakota,49.95,49.95
Average Margin-Campbell,2020,South Dakota,57.22,57.22
Average Margin-Charles Mix,2020,South Dakota,20.68,20.68
Average Margin-Clark,2020,South Dakota,24.7,24.7
Average Margin-Clay,2020,South Dakota,-13.1,-13.1
Average Margin-Codington,2020,South Dakota,22.02,22.02
Average Margin-Corson,2020,South Dakota,-7.34,-7.34
Average Margin-Custer,2020,South Dakota,39.66,39.66
Average Margin-Davison,2020,South Dakota,23.33,23.33
Average Margin-Day,2020,South Dakota,0.91,0.91
Average Margin-Deuel,2020,South Dakota,16.69,16.69
Average Margin-Dewey,2020,South Dakota,-21.15,-21.15
